"Hôtellerie: arrivées et nuitées des établissements ouverts selon l'année, le mois, la région touristique et la provenance des hôtes"

"Année";"Mois";"Région touristique";"Suisse Nuitées";"Pays baltes Nuitées";"Allemagne Nuitées";"France Nuitées";"Italie Nuitées";"Autriche Nuitées";"Royaume-Uni Nuitées";"Irlande (Eire) Nuitées";"Pays-Bas Nuitées";"Belgique Nuitées";"Luxembourg Nuitées";"Danemark Nuitées";"Suède Nuitées";"Norvège Nuitées";"Finlande Nuitées";"Espagne Nuitées";"Portugal Nuitées";"Grèce Nuitées";"Turquie Nuitées";"Autres Europe Nuitées";"Liechtenstein Nuitées";"Islande Nuitées";"Pologne Nuitées";"Hongrie Nuitées";"Biélorussie Nuitées";"Bulgarie Nuitées";"Malte Nuitées";"Chypre Nuitées";"Chili Nuitées";"Etats-Unis d'Amérique Nuitées";"Canada Nuitées";"Mexique Nuitées";"Brésil Nuitées";"Argentine Nuitées";"Amérique Centrale, Caraïbes Nuitées";"Autres Amérique du Sud Nuitées";"Autres Amérique centrale, Caraïbes Nuitées";"Egypte Nuitées";"Autres Afrique du Nord Nuitées";"Afrique du Sud Nuitées";"Autres Afrique Nuitées";"Bahreïn Nuitées";"Israël Nuitées";"Inde Nuitées";"Japon Nuitées";"Autres Asie de l'Est Nuitées";"Qatar Nuitées";"Koweït Nuitées";"Australie Nuitées";"Australie, N.Zélande, Océanie Nuitées";"Chine (sans Hongkong) Nuitées";"Pays du Golfe Nuitées";"Hongkong Nuitées";"Indonésie Nuitées";"République de Corée Nuitées";"Malaisie Nuitées";"Philippines Nuitées";"Nouvelle Zélande, Océanie Nuitées";"Singapour Nuitées";"Oman Nuitées";"Chine (Taiwan) Nuitées";"Thaïlande Nuitées";"Autres Asie de l'Ouest Nuitées";"Estonie Nuitées";"Lettonie Nuitées";"Lituanie Nuitées";"Arabie Saoudite Nuitées";"Emirats Arabes Unis Nuitées";"Serbie et Monténégro Nuitées";"Croatie Nuitées";"Roumanie Nuitées";"Russie Nuitées";"Slovaquie Nuitées";"Slovénie Nuitées";"République tchèque Nuitées";"Ukraine Nuitées";"Serbie Nuitées"
"2006";"Septembre";"Suisse";1543026;3189;610519;93533;72059;39592;192679;7790;69248;45179;8617;10598;16304;8427;8013;35785;7490;6583;5483;25577;2210;1711;9579;5995;511;3460;...;...;1562;191105;24209;...;11927;3691;10625;6203;...;3233;6886;6746;9367;...;15561;21409;63566;9756;...;...;...;26490;20400;19018;4321;2223;11369;2752;1030;...;3900;...;5686;4458;5833;...;...;...;...;...;2422;2318;5944;19257;2715;2092;7307;3492;...
"2006";"Octobre";"Suisse";1342233;4128;391544;82714;63449;27649;104339;6251;38651;19851;4079;8565;12626;7640;5841;30674;7782;6760;6771;17199;2075;959;7316;4997;525;2623;...;...;1127;132128;17219;...;12077;3480;9559;4954;...;2411;4770;4988;10318;...;12556;17015;37552;10730;...;...;...;17666;21211;8076;4051;3438;12245;2908;1041;...;5169;...;6395;7210;5385;...;...;...;...;...;2585;2481;5582;20819;2359;1839;5216;3497;...
"2006";"Novembre";"Suisse";777311;2303;222984;73351;58144;21166;74975;5385;22343;15701;2772;6696;9268;4209;4280;23583;6500;5679;4690;14341;1915;878;6704;4367;472;2815;...;...;780;73967;11442;...;9436;1784;6682;3629;...;2877;6659;4990;9101;...;6187;11091;17589;6763;...;...;...;8909;15395;8881;2838;2121;7669;2816;1068;...;4722;...;3139;3343;3705;...;...;...;...;...;2871;2455;6232;19875;1905;1417;4568;3064;...
"2006";"Décembre";"Suisse";951295;2642;376341;97594;99597;18665;176695;7164;63297;48537;10795;6645;10597;3972;4702;36846;7303;23532;5335;16517;1516;990;7764;3384;1828;2464;...;...;700;83775;11501;...;8914;1216;5966;3701;...;2049;5326;9878;5701;...;9809;8798;15750;5596;...;...;...;17073;14808;9409;3524;2358;7164;3694;707;...;8058;...;2278;3635;4006;...;...;...;...;...;1902;2322;6090;31028;1648;1280;4317;4715;...
"2007";"Janvier";"Suisse";1207197;4303;489760;100179;95747;26970;189990;10252;75579;77316;16100;11052;16631;6118;5793;26016;6812;12985;9356;21026;1548;1167;9997;4253;1518;2395;...;...;731;90505;13088;...;12493;2246;5721;3742;...;2474;4378;9350;6544;...;9600;7188;14516;6778;...;...;...;20805;9808;10661;2152;1556;9456;1554;661;...;2668;...;1763;2300;4524;...;...;...;...;...;1658;3019;5630;89831;2141;1747;4382;9701;...
"2007";"Février";"Suisse";1388934;3137;518827;158705;89002;27906;267182;10580;137829;97650;24935;14921;32171;12262;10979;26974;10001;7827;8502;19119;1978;1744;12696;4310;1470;2550;...;...;864;93113;13222;...;9029;1837;5629;2939;...;2519;5475;4888;7221;...;10035;8994;16506;6031;...;...;...;10091;12674;12030;3821;1068;6651;2157;775;...;3739;...;3150;2655;3978;...;...;...;...;...;1919;3779;4372;30772;2406;1749;6781;4881;...
"2007";"Mars";"Suisse";1396691;5209;605993;141978;101448;37408;228765;9813;93423;84947;9335;12835;36288;11923;9373;31707;11481;9312;6758;22901;2419;1098;13790;6030;1157;4802;...;...;864;118881;19841;...;9512;2196;6730;4278;...;3411;6388;7422;9665;...;14796;13261;22670;7601;...;...;...;11130;11962;11435;2952;2166;8004;3002;1122;...;3905;...;2721;14579;4891;...;...;...;...;...;2838;2647;7246;43948;3349;2374;9286;5113;...
"2007";"Avril";"Suisse";1042633;3817;471943;97746;89005;26436;166947;6241;37390;80196;8020;7703;14939;5828;6153;38113;9820;8055;6035;17156;1952;1067;8916;4433;838;3297;...;...;878;107137;14489;...;10012;1999;8330;5291;...;2765;4516;6442;8165;...;12677;27008;28460;8869;...;...;...;14040;22012;13570;8620;1970;12167;3200;1290;...;5705;...;4700;12402;5584;...;...;...;...;...;2087;1977;6135;26744;2451;1595;5239;4150;...
"2007";"Mai";"Suisse";998487;4503;411964;84259;59398;29188;143479;6381;48040;23866;6387;8688;11524;5340;5921;26705;7269;5797;5063;18699;1591;1016;10056;5523;601;3460;...;...;1107;146318;19274;...;12249;2918;9047;4857;...;2624;5988;5556;11343;...;9521;73248;35306;10993;...;...;...;23966;21321;11877;4446;1729;15134;3295;1408;...;5243;...;5547;7801;5557;...;...;...;...;...;2282;2483;6133;27349;2183;2144;6806;3874;...
"2007";"Juin";"Suisse";1294785;4274;558396;100928;76604;37143;223761;7783;79368;56051;7494;10753;13289;7255;6990;34723;9165;7069;6116;21430;2283;1487;9056;8490;863;3206;...;...;1508;221012;23162;...;13679;4696;12789;6193;...;3526;7493;7923;13279;...;13436;56350;94077;11586;...;...;...;29216;23819;19004;5581;3068;14164;4636;1518;...;7513;...;6410;4600;8059;...;...;...;...;...;2145;2537;7253;23280;2408;2690;7979;4248;...
